State Name,DISTRICT NAME,Language
HIMACHAL PRADESH,KINNAUR,Hindi
HIMACHAL PRADESH,KULLU,Hindi
HIMACHAL PRADESH,LAHUL SPITI,Hindi
HIMACHAL PRADESH,MANDI,Hindi
HIMACHAL PRADESH,SHIMLA,Hindi
HIMACHAL PRADESH,SIRMAUR,Hindi
HIMACHAL PRADESH,SOLAN,Hindi
HIMACHAL PRADESH,UNA,Hindi
JAMMU AND KASHMIR,ANANTNAG,Hindi
JAMMU AND KASHMIR,BADGAM,Hindi
JAMMU AND KASHMIR,BANDIPORE,Hindi
JAMMU AND KASHMIR,BARAMULA,Hindi
JAMMU AND KASHMIR,DODA,Hindi
JAMMU AND KASHMIR,GANDERBAL,Hindi
JAMMU AND KASHMIR,JAMMU,Hindi
JAMMU AND KASHMIR,KARGIL,Hindi
JAMMU AND KASHMIR,KATHUA,Hindi
JAMMU AND KASHMIR,KISHTWAR,Hindi
JAMMU AND KASHMIR,KULGAM,Hindi
JAMMU AND KASHMIR,KUPWARA,Hindi
JAMMU AND KASHMIR,LEH(LADAKH),Hindi
JAMMU AND KASHMIR,PULWAMA,Hindi
JAMMU AND KASHMIR,PUNCH,Hindi
JAMMU AND KASHMIR,RAJOURI,Hindi
JAMMU AND KASHMIR,RAMBAN,Hindi
JAMMU AND KASHMIR,REASI,Hindi
JAMMU AND KASHMIR,SAMBA,Hindi
JAMMU AND KASHMIR,SHUPIYAN,Hindi
JAMMU AND KASHMIR,SRINAGAR,Hindi
JAMMU AND KASHMIR,UDHAMPUR,Hindi
JHARKHAND,BOKARO,Hindi
JHARKHAND,CHATRA,Hindi
JHARKHAND,DEOGHAR,Hindi
JHARKHAND,DHANBAD,Hindi
JHARKHAND,DUMKA,Hindi
JHARKHAND,GARHWA,Hindi
JHARKHAND,GIRIDIH,Hindi
JHARKHAND,GODDA,Hindi
JHARKHAND,GUMLA,Hindi
JHARKHAND,HAZARIBAGH,Hindi
JHARKHAND,JAMTARA,Hindi
JHARKHAND,KHUNTI,Hindi
JHARKHAND,KODARMA,Hindi
JHARKHAND,LATEHAR,Hindi
JHARKHAND,LOHARDAGA,Hindi
JHARKHAND,PAKUR,Hindi
JHARKHAND,PALAMU,Hindi
JHARKHAND,PASHCHIMI SINGHBHUM,Hindi
JHARKHAND,PURBI SINGHBHUM,Hindi
JHARKHAND,RAMGARH,Hindi
JHARKHAND,RANCHI,Hindi
JHARKHAND,SAHIBGANJ,Hindi
JHARKHAND,SARAIKELA-KHARSAWAN,Hindi
JHARKHAND,SIMDEGA,Hindi
KARNATAKA,BAGALKOT,Kannada
KARNATAKA,BANGALORE,Kannada
KARNATAKA,BANGALORE RURAL,Kannada
KARNATAKA,BELGAUM,Kannada
KARNATAKA,BELLARY,Kannada
KARNATAKA,BIDAR,Kannada
KARNATAKA,BIJAPUR,Kannada
KARNATAKA,CHAMARAJANAGAR,Kannada
KARNATAKA,CHIKKABALLAPURA,Kannada
KARNATAKA,CHIKMAGALUR,Kannada
KARNATAKA,CHITRADURGA,Kannada
KARNATAKA,DAKSHINA KANNADA,Kannada
KARNATAKA,DAVANAGERE,Kannada
KARNATAKA,DHARWAD,Kannada
KARNATAKA,GADAG,Kannada
KARNATAKA,GULBARGA,Kannada
KARNATAKA,HASSAN,Kannada
KARNATAKA,HAVERI,Kannada
KARNATAKA,KODAGU,Kannada
KARNATAKA,KOLAR,Kannada
KARNATAKA,KOPPAL,Kannada
KARNATAKA,MANDYA,Kannada
KARNATAKA,MYSORE,Kannada
KARNATAKA,RAICHUR,Kannada
KARNATAKA,RAMANAGARA,Kannada
KARNATAKA,SHIMOGA,Kannada
KARNATAKA,TUMKUR,Kannada
KARNATAKA,UDUPI,Kannada
KARNATAKA,UTTARA KANNADA,Kannada
KARNATAKA,YADGIR,Kannada
KERALA,ALAPPUZHA,Malayalam
KERALA,ERNAKULAM,Malayalam
KERALA,IDUKKI,Malayalam
KERALA,KANNUR,Malayalam
KERALA,KASARAGOD,Malayalam
KERALA,KOLLAM,Malayalam
KERALA,KOTTAYAM,Malayalam
KERALA,KOZHIKODE,Malayalam
KERALA,MALAPPURAM,Malayalam
KERALA,PALAKKAD,Malayalam
KERALA,PATHANAMTHITTA,Malayalam
KERALA,THIRUVANANTHAPURAM,Malayalam
KERALA,THRISSUR,Malayalam
KERALA,WAYANAD,Malayalam
LAKSHADWEEP,LAKSHADWEEP,Hindi
MADHYA PRADESH,AGAR MALWA,Hindi
MADHYA PRADESH,ALIRAJPUR,Hindi
MADHYA PRADESH,ANUPPUR,Hindi
MADHYA PRADESH,ASHOKNAGAR,Hindi
MADHYA PRADESH,BALAGHAT,Hindi
MADHYA PRADESH,BARWANI,Hindi
MADHYA PRADESH,BETUL,Hindi
MADHYA PRADESH,BHIND,Hindi
MADHYA PRADESH,BHOPAL,Hindi
MADHYA PRADESH,BURHANPUR,Hindi
MADHYA PRADESH,CHHATARPUR,Hindi
MADHYA PRADESH,CHHINDWARA,Hindi
MADHYA PRADESH,DAMOH,Hindi
MADHYA PRADESH,DATIA,Hindi
MADHYA PRADESH,DEWAS,Hindi
MADHYA PRADESH,DHAR,Hindi
MADHYA PRADESH,DINDORI,Hindi
MADHYA PRADESH,GUNA,Hindi
MADHYA PRADESH,GWALIOR,Hindi
MADHYA PRADESH,HARDA,Hindi
MADHYA PRADESH,HOSHANGABAD,Hindi
MADHYA PRADESH,INDORE,Hindi
MADHYA PRADESH,JABALPUR,Hindi
MADHYA PRADESH,JHABUA,Hindi
MADHYA PRADESH,KATNI,Hindi
MADHYA PRADESH,KHANDWA (EAST NIMAR),Hindi
